Time,Latitude,Longitude,Altitude,Condutivity,DissolvedOxygen,RedoxPotential,Temperature,pH
1572037829.0,-32.07315755,-52.16487405,16.5994243956,296.0,27.5200004578,163.5,26.0669994354,10.8389997482
1572037834.0,-32.0731675,-52.16490675,16.5194488417,296.899993896,27.0900001526,162.899993896,26.2439994812,10.8459997177
1572037839.5,-32.0731822,-52.16494755,16.5446029309,297.200012207,26.9500007629,162.600006104,26.3819999695,10.8660001755
1572037845.0,-32.0731935,-52.1649857,16.5797092667,297.0,27.0,163.199996948,26.3980007172,10.859000206
1572037850.0,-32.0731855,-52.16501625,16.8597884847,297.5,27.1299991608,162.899993896,26.4200000763,10.8500003815
1572037855.0,-32.0731633,-52.1650321,16.8848199382,298.299987793,27.0900001526,164.100006104,26.4449996948,10.8170003891
1572037860.5,-32.0731355,-52.16504,16.9048363822,299.200012207,27.1800003052,163.100006104,26.6040000916,10.8260002136
1572037866.0,-32.0731087,-52.16505575,16.8098725465,299.200012207,27.4400005341,163.800003052,26.607000351,10.8470001221
1572037871.0,-32.0730797,-52.16506815,16.6848942538,298.399993896,27.6499996185,163.399993896,26.6170005798,10.8879995346
1572037876.0,-32.07305435,-52.1650749,16.6499126493,297.799987793,27.4799995422,165.399993896,26.6319999695,10.8459997177
1572037881.0,-32.0730328,-52.16509565,16.6299594025,297.299987793,26.8899993896,165.899993896,26.6469993591,10.8090000153
1572037886.5,-32.07301805,-52.1651175,16.5400044905,297.399993896,26.6800003052,166.600006104,26.6599998474,10.8020000458
1572037892.0,-32.07302525,-52.1651474,16.635082661,297.5,26.2700004578,167.899993896,26.6620006561,10.8030004501
1572037897.0,-32.0730325,-52.1651756,16.6551909203,297.299987793,26.2700004578,166.899993896,26.6669998169,10.8000001907
1572037902.0,-32.0730448,-52.16520985,16.6552692925,296.600006104,26.3500003815,168.600006104,26.8150005341,10.7700004578
1572037907.5,-32.0730644,-52.16523795,16.5903688663,296.700012207,26.3400001526,170.5,26.7980003357,10.7720003128
1572037913.0,-32.0730918,-52.1652661,16.5954148705,296.5,26.3199996948,169.800003052,26.783000946,10.7939996719
1572037918.0,-32.0731129,-52.1652925,16.535508661,296.799987793,26.5,170.300003052,26.638999939,10.829000473
1572037923.0,-32.0731227,-52.1653274,16.5405905213,297.0,26.9200000763,170.300003052,26.6280002594,10.8470001221
1572037928.0,-32.073122,-52.16535025,16.4656804352,297.100006104,27.2199993134,170.800003052,26.4720001221,10.8120002747
1572037934.0,-32.07313215,-52.16538265,16.4757724466,297.600006104,27.2800006866,171.800003052,26.4880008698,10.8310003281
1572037939.0,-32.0731297,-52.1654131,16.4908419791,297.0,27.3799991608,170.800003052,26.5020008087,10.8400001526
1572037944.0,-32.07312875,-52.16544925,16.500921459,297.799987793,27.4699993134,171.199996948,26.5130004883,10.8229999542
1572037949.0,-32.0731308,-52.1654796,16.5260111032,297.200012207,27.5300006866,170.0,26.531999588,10.8219995499
1572037954.5,-32.0731422,-52.16551275,16.3961078431,297.600006104,27.1599998474,169.600006104,26.6749992371,10.8009996414
1572037960.0,-32.0731638,-52.16552055,16.4711358202,298.899993896,26.3099994659,170.5,26.6700000763,10.7620000839
1572037965.0,-32.07319645,-52.1655267,16.5061544972,298.799987793,26.8600006104,168.600006104,26.5380001068,10.8310003281
1572037970.0,-32.0732292,-52.1655385,16.5662045902,298.700012207,27.3999996185,168.5,26.5510005951,10.8170003891
1572037975.5,-32.07325785,-52.1655561,16.5362546015,299.700012207,27.6100006104,168.399993896,26.5739994049,10.859000206
1572037981.0,-32.07327715,-52.1655923,16.4713589232,299.700012207,27.6299991608,168.300003052,26.7210006714,10.8529996872
1572037986.0,-32.0732873,-52.16562925,16.5164480063,300.299987793,27.8299999237,168.0,26.7140007019,10.8859996796
1572037991.0,-32.07329665,-52.1656661,16.3965685091,300.399993896,27.9799995422,167.199996948,26.7089996338,10.9060001373
1572037996.0,-32.0732857,-52.16568835,16.5466247517,299.399993896,27.7999992371,168.399993896,26.702999115,10.8420000076
1572038001.5,-32.073266,-52.16571245,16.6316898257,297.700012207,27.6700000763,168.899993896,26.5659999847,10.873000145
1572038007.0,-32.0732479,-52.1657404,16.5917524499,296.399993896,26.7999992371,169.0,26.7369995117,10.8439998627
1572038012.0,-32.0732401,-52.165747,16.451768784,296.5,25.4899997711,167.300003052,26.7159996033,10.7919998169
1572038017.0,-32.07324205,-52.165745,16.436763057,296.700012207,24.8199996948,171.100006104,26.7210006714,10.7229995728
1572038022.5,-32.0732412,-52.1657454,16.431763663,296.799987793,24.2099990845,173.800003052,26.7310009003,10.6680002213
1572038028.0,-32.07324045,-52.1657452,16.4367630151,296.799987793,23.8999996185,177.5,26.7269992828,10.6120004654
1572038033.0,-32.07323945,-52.165745,16.4167619473,297.0,23.6299991608,179.600006104,26.732000351,10.579000473
1572038038.0,-32.0732387,-52.1657448,16.4267613384,297.600006104,23.1299991608,183.199996948,26.7369995117,10.513999939
1572038043.0,-32.07323795,-52.1657449,16.3817612504,298.0,22.5699996948,185.0,26.7469997406,10.4799995422
1572038048.5,-32.07323675,-52.1657454,16.4317621248,298.5,22.1700000763,186.300003052,26.75,10.4499998093
1572038054.0,-32.0732363,-52.16574615,16.4517641998,299.200012207,21.8299999237,187.5,26.7590007782,10.4379997253
